year,1,2,3,4,labeled_timestamps,image_ready_fraction
1988,294,361,1008,0,1663,0.9422730006013229
1989,291,390,1321,0,2002,0.954045954045954
1990,143,344,1500,0,1987,0.961248112732763
1991,160,352,1626,0,2138,0.932179607109448
1992,262,560,1527,0,2349,0.9484887186036611
1993,264,411,1286,0,1961,0.9505354411014788
1994,239,312,2109,0,2660,0.9454887218045113
1995,153,192,1010,0,1355,0.9239852398523986
1996,430,236,1277,0,1943,0.9521358723623263
1997,432,293,1490,0,2215,0.9683972911963883
1998,122,89,588,0,799,0.9386733416770964
1999,236,233,671,0,1140,0.9359649122807018
2000,310,144,1010,0,1464,0.9603825136612022
2001,95,110,177,1196,1578,0.9461343472750317
2002,190,133,158,1271,1752,0.9492009132420092
2003,152,114,186,1142,1594,0.965495608531995
2004,342,199,308,1516,2365,0.9547568710359408
2005,53,191,197,1093,1534,0.9152542372881356
2006,15,168,209,1182,1574,0.9917407878017789
2007,163,150,161,952,1426,0.9957924263674615
2008,79,154,183,848,1264,0.995253164556962
2009,162,68,126,1180,1536,0.99609375
2010,34,74,86,576,770,0.9636363636363636
2011,194,74,178,1055,1501,0.9786808794137242
2012,154,202,186,1334,1876,0.9861407249466951
2013,162,187,247,1150,1746,0.9845360824742269
2014,108,170,183,1035,1496,0.9946524064171123
2015,168,270,184,1670,2292,0.9995636998254799
2016,109,193,156,1001,1459,0.9986291980808774
2017,86,245,174,1046,1551,0.9993552546744036
2018,105,239,268,1424,2036,0.9990176817288802
2019,134,243,330,1214,1921,0.9994794377928162
2020,99,252,225,824,1400,0.9971428571428571
2021,44,290,196,1103,1633,1.0
2022,69,224,178,862,1333,0.9984996249062266
2023,12,136,93,1027,1268,0.9976340694006309
