model_key,model_label,task,task_label,mae,rmse,interval_coverage,interval_width,range_coverage_at_90,high_disagreement_mae,high_disagreement_coverage,high_disagreement_count,mae_penalty,model_color,metadata_mae,mae_gain_vs_metadata
metadata,Metadata baseline,analysis-0h,Analysis (0 h),15.835000311837014,20.66800057500607,0.7742171763413295,47.336227312487836,0.8621131660867973,20.24253115238395,0.6540011514104779,1737,4.4075308405469364,#7C8894,15.835000311837014,0.0
metadata,Metadata baseline,forecast-6h,Forecast (+6 h),15.895976167272503,20.677976312784477,0.7826744845848307,48.55072493339117,0.8630603366748628,20.03583086001605,0.6705336426914154,1724,4.139854692743546,#7C8894,15.895976167272503,0.0
metadata,Metadata baseline,forecast-12h,Forecast (+12 h),15.988515553692753,20.757051920169783,0.7858400156463915,49.54233420817377,0.868765890866419,19.850027061153316,0.6825117370892019,1704,3.8615115074605626,#7C8894,15.988515553692753,0.0
torch_image_ascend,Image-only (tiny),analysis-0h,Analysis (0 h),15.36623033999611,21.16275847220622,0.8573521333089178,51.481321174525185,0.8842702801684673,22.169552958416542,0.6799078871617732,1737,6.803322618420433,#A7D0E8,15.835000311837014,0.46876997184090463
torch_image_ascend,Image-only (tiny),forecast-6h,Forecast (+6 h),17.405479804901763,21.966940633931138,0.8560620389634954,51.4813232421875,0.8848118025345186,21.582051323627375,0.6908352668213457,1724,4.176571518725613,#A7D0E8,15.895976167272503,-1.50950363762926
torch_image_ascend,Image-only (tiny),forecast-12h,Forecast (+12 h),16.8614624668049,23.793229000850406,0.8173283786426755,51.48132283632102,0.881087424212791,24.969556208507555,0.6144366197183099,1704,8.108093741702657,#A7D0E8,15.988515553692753,-0.8729469131121448
torch_image_resnet18_ascend,Image-only (ResNet18),analysis-0h,Analysis (0 h),8.151942064683094,11.211929198511625,0.9641091375206006,51.48131855921177,0.8518586339498261,10.922332500134932,0.9147956246401843,1737,2.770390435451837,#2E6F95,15.835000311837014,7.6830582471539195
torch_image_resnet18_ascend,Image-only (ResNet18),forecast-6h,Forecast (+6 h),6.680293014465759,8.762534472204598,0.9861925477586533,51.481318809144184,0.8390391526385473,8.056759119586989,0.9704176334106729,1724,1.3764661051212297,#2E6F95,15.895976167272503,9.215683152806744
torch_image_resnet18_ascend,Image-only (ResNet18),forecast-12h,Forecast (+12 h),7.768031537544464,10.739717403409657,0.9649911989047526,51.48131869409547,0.8634852337179738,10.036023099657516,0.9242957746478874,1704,2.2679915621130524,#2E6F95,15.988515553692753,8.22048401614829
torch_multimodal_ascend,Multimodal (tiny),analysis-0h,Analysis (0 h),15.726565797083152,21.27614906639314,0.8383080021973998,51.48131858156488,0.8727339315143746,22.13563027214441,0.6655152561888313,1737,6.409064475061259,#B5D8C0,15.835000311837014,0.10843451475386168
torch_multimodal_ascend,Multimodal (tiny),forecast-6h,Forecast (+6 h),17.856563769420426,25.998648395052005,0.807830527709476,59.08518641085667,0.8853792320786835,29.21851456856783,0.584106728538283,1724,11.361950799147404,#B5D8C0,15.895976167272503,-1.960587602147923
torch_multimodal_ascend,Multimodal (tiny),forecast-12h,Forecast (+12 h),20.197817495977624,24.02775449531841,0.8018775669861138,60.617797970934994,0.8689614707608058,20.48490078348509,0.7799295774647887,1704,0.2870832875074676,#B5D8C0,15.988515553692753,-4.2093019422848705
torch_multimodal_resnet18_ascend,Multimodal (ResNet18),analysis-0h,Analysis (0 h),8.821705467337283,11.556201917775528,0.965207837392419,51.481319833338816,0.8546053836293719,10.981100149379767,0.9136442141623489,1737,2.1593946820424836,#4C8C68,15.835000311837014,7.013294844499731
torch_multimodal_resnet18_ascend,Multimodal (ResNet18),forecast-6h,Forecast (+6 h),11.459710609085375,14.833448571597536,0.92944959334216,51.48132308056613,0.8798940798184225,14.350769467807424,0.8277262180974478,1724,2.891058858722049,#4C8C68,15.895976167272503,4.436265558187127
torch_multimodal_resnet18_ascend,Multimodal (ResNet18),forecast-12h,Forecast (+12 h),10.469991199382243,13.826588414968006,0.9358497946411108,51.48132087861212,0.8703305300215138,13.033528001095767,0.8573943661971831,1704,2.563536801713525,#4C8C68,15.988515553692753,5.518524354310511
