storm_id,storm_name,timestamp,pressure_jma,pressure_jtwc,pressure_cma,pressure_hko,pressure_consensus_median,pressure_min,pressure_max,pressure_range
201330,HAIYAN,2013-11-03 06:00:00,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,1004.0,0.0
201330,HAIYAN,2013-11-03 09:00:00,1006.0,1002.0,1003.0,1004.0,1004.5,1003.0,1006.0,3.0
201330,HAIYAN,2013-11-03 12:00:00,1008.0,1000.0,1002.0,1004.0,1005.0,1002.0,1008.0,6.0
201330,HAIYAN,2013-11-03 15:00:00,1006.0,1000.0,1002.0,1004.0,1004.0,1002.0,1006.0,4.0
201330,HAIYAN,2013-11-03 18:00:00,1004.0,1000.0,1002.0,1004.0,1003.0,1002.0,1004.0,2.0
201330,HAIYAN,2013-11-03 21:00:00,1003.0,998.0,1001.0,1003.0,1002.0,1001.0,1003.0,2.0
201330,HAIYAN,2013-11-04 00:00:00,1002.0,996.0,1000.0,1002.0,1001.0,1000.0,1002.0,2.0
201330,HAIYAN,2013-11-04 03:00:00,1001.0,995.0,998.0,1001.0,999.5,998.0,1001.0,3.0
201330,HAIYAN,2013-11-04 06:00:00,1000.0,993.0,995.0,1000.0,997.5,995.0,1000.0,5.0
201330,HAIYAN,2013-11-04 09:00:00,999.0,991.0,993.0,999.0,996.0,993.0,999.0,6.0
201330,HAIYAN,2013-11-04 12:00:00,998.0,989.0,990.0,998.0,994.0,990.0,998.0,8.0
201330,HAIYAN,2013-11-04 15:00:00,995.0,986.0,988.0,995.0,991.5,988.0,995.0,7.0
201330,HAIYAN,2013-11-04 18:00:00,992.0,982.0,985.0,992.0,988.5,985.0,992.0,7.0
201330,HAIYAN,2013-11-04 21:00:00,989.0,976.0,983.0,989.0,986.0,983.0,989.0,6.0
201330,HAIYAN,2013-11-05 00:00:00,985.0,970.0,980.0,985.0,982.5,980.0,985.0,5.0
201330,HAIYAN,2013-11-05 03:00:00,983.0,969.0,975.0,983.0,979.0,975.0,983.0,8.0
201330,HAIYAN,2013-11-05 06:00:00,980.0,967.0,970.0,980.0,975.0,970.0,980.0,10.0
201330,HAIYAN,2013-11-05 09:00:00,978.0,962.0,965.0,975.0,971.5,965.0,978.0,13.0
201330,HAIYAN,2013-11-05 12:00:00,975.0,956.0,960.0,970.0,967.5,960.0,975.0,15.0
201330,HAIYAN,2013-11-05 15:00:00,970.0,949.0,955.0,963.0,962.5,955.0,970.0,15.0
201330,HAIYAN,2013-11-05 18:00:00,965.0,941.0,950.0,955.0,957.5,950.0,965.0,15.0
201330,HAIYAN,2013-11-05 21:00:00,958.0,934.0,943.0,943.0,950.5,943.0,958.0,15.0
201330,HAIYAN,2013-11-06 00:00:00,950.0,926.0,935.0,930.0,942.5,935.0,950.0,15.0
201330,HAIYAN,2013-11-06 03:00:00,940.0,924.0,935.0,925.0,937.5,935.0,940.0,5.0
